Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,19-25,England and Wales - Total,Percentage,100,5037580,5037580
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,26-39,People with type 2 diabetes - Asian,Percentage,32,117960,37700
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,26-39,People with type 2 diabetes - Black,Percentage,7.4,117960,8725
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,26-39,People with type 2 diabetes - Mixed,Percentage,2.3,117960,2675
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,26-39,People with type 2 diabetes - White,Percentage,56.1,117960,66145
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,26-39,People with type 2 diabetes - Other,Percentage,2.3,117960,2710
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,26-39,People with type 2 diabetes - Total,Percentage,100,117960,117960
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,26-39,England and Wales - Asian,Percentage,11.9,11284210,1338185
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,26-39,England and Wales - Black,Percentage,4.3,11284210,481200
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,26-39,England and Wales - Mixed,Percentage,2.9,11284210,327745
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,26-39,England and Wales - White,Percentage,78.2,11284210,8821090
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,26-39,England and Wales - Other,Percentage,2.8,11284210,315990
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,26-39,England and Wales - Total,Percentage,100,11284210,11284210
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,40-59,People with type 2 diabetes - Asian,Percentage,22.7,953720,216560
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,40-59,People with type 2 diabetes - Black,Percentage,7.9,953720,74915
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,40-59,People with type 2 diabetes - Mixed,Percentage,1.8,953720,17125
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,40-59,People with type 2 diabetes - White,Percentage,65.4,953720,623370
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,40-59,People with type 2 diabetes - Other,Percentage,2.3,953720,21750
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,40-59,People with type 2 diabetes - Total,Percentage,100,953720,953720
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,40-59,England and Wales - Asian,Percentage,9.1,15696955,1427555
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,40-59,England and Wales - Black,Percentage,4.4,15696955,690890
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,40-59,England and Wales - Mixed,Percentage,1.6,15696955,247020
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,40-59,England and Wales - White,Percentage,82.8,15696955,12993305
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,40-59,England and Wales - Other,Percentage,2.2,15696955,338180
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,40-59,England and Wales - Total,Percentage,100,15696955,15696955
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,60-79,People with type 2 diabetes - Asian,Percentage,12.8,1576255,201840
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,60-79,People with type 2 diabetes - Black,Percentage,4,1576255,62530
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,60-79,People with type 2 diabetes - Mixed,Percentage,0.9,1576255,14550
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,60-79,People with type 2 diabetes - White,Percentage,80.7,1576255,1272620
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,60-79,People with type 2 diabetes - Other,Percentage,1.6,1576255,24715
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,60-79,People with type 2 diabetes - Total,Percentage,100,1576255,1576255
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,60-79,England and Wales - Asian,Percentage,4.5,11548990,519605
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,60-79,England and Wales - Black,Percentage,1.8,11548990,212210
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,60-79,England and Wales - Mixed,Percentage,0.6,11548990,66745
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,60-79,England and Wales - White,Percentage,92.1,11548990,10631545
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,60-79,England and Wales - Other,Percentage,1,11548990,118885
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,60-79,England and Wales - Total,Percentage,100,11548990,11548990
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,19-25,Most deprived,Percentage,36.8,8065,2965
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,19-25,2nd most deprived,Percentage,23.2,8065,1870
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,19-25,3rd most deprived,Percentage,16.8,8065,1355
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,19-25,2nd least deprived,Percentage,10.8,8065,875
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,19-25,Least deprived,Percentage,7.9,8065,640
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,19-25,Unknown,Percentage,4.4,8065,355
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,19-25,Total,Percentage,100,8065,8065
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,19-25,Most deprived,Percentage,36.2,8725,3160
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,19-25,2nd most deprived,Percentage,22.6,8725,1975
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,19-25,3rd most deprived,Percentage,16.2,8725,1415
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,19-25,2nd least deprived,Percentage,11,8725,960
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,19-25,Least deprived,Percentage,8.5,8725,740
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,19-25,Unknown,Percentage,5.5,8725,480
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,19-25,Total,Percentage,100,8725,8725
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,19-25,Most deprived,Percentage,35.3,8785,3100
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,19-25,2nd most deprived,Percentage,24.4,8785,2145
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,19-25,3rd most deprived,Percentage,16.5,8785,1450
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,19-25,2nd least deprived,Percentage,11.6,8785,1020
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,19-25,Least deprived,Percentage,8.3,8785,730
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,19-25,Unknown,Percentage,3.9,8785,340
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,19-25,Total,Percentage,100,8785,8785
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,19-25,Most deprived,Percentage,35.7,9065,3240
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,19-25,2nd most deprived,Percentage,23.6,9065,2140
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,19-25,3rd most deprived,Percentage,16.9,9065,1530
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,19-25,2nd least deprived,Percentage,11.7,9065,1060
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,19-25,Least deprived,Percentage,9.1,9065,825
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,19-25,Unknown,Percentage,3,9065,270
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,19-25,Total,Percentage,100,9065,9065
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,19-25,Most deprived,Percentage,34.4,9765,3360
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,19-25,2nd most deprived,Percentage,23.7,9765,2315
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,19-25,3rd most deprived,Percentage,16.8,9765,1640
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,19-25,2nd least deprived,Percentage,11.5,9765,1125
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,19-25,Least deprived,Percentage,9.2,9765,895
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,19-25,Unknown,Percentage,4.4,9765,430
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,19-25,Total,Percentage,100,9765,9765
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,26-39,Most deprived,Percentage,36.1,107615,38850
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,26-39,2nd most deprived,Percentage,25.8,107615,27730
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,26-39,3rd most deprived,Percentage,17.9,107615,19285
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,26-39,2nd least deprived,Percentage,11.5,107615,12350
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,26-39,Least deprived,Percentage,7.7,107615,8255
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,26-39,Unknown,Percentage,1.1,107615,1145
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,26-39,Total,Percentage,100,107615,107615
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,26-39,Most deprived,Percentage,35.9,113445,40675
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,26-39,2nd most deprived,Percentage,25.7,113445,29170
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,26-39,3rd most deprived,Percentage,17.9,113445,20315
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,26-39,2nd least deprived,Percentage,11.5,113445,13060
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,26-39,Least deprived,Percentage,7.7,113445,8750
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,26-39,Unknown,Percentage,1.3,113445,1475
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,26-39,Total,Percentage,100,113445,113445
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,26-39,Most deprived,Percentage,34.9,118725,41425
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,26-39,2nd most deprived,Percentage,25.8,118725,30680
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,26-39,3rd most deprived,Percentage,18.6,118725,22110
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,26-39,2nd least deprived,Percentage,11.8,118725,14055
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,26-39,Least deprived,Percentage,8,118725,9440
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,26-39,Unknown,Percentage,0.9,118725,1015
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,26-39,Total,Percentage,100,118725,118725
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,26-39,Most deprived,Percentage,34.7,121190,42030
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,26-39,2nd most deprived,Percentage,25.8,121190,31225
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,26-39,3rd most deprived,Percentage,18.7,121190,22615
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,26-39,2nd least deprived,Percentage,12,121190,14495
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,26-39,Least deprived,Percentage,8.2,121190,9880
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,26-39,Unknown,Percentage,0.8,121190,940
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,26-39,Total,Percentage,100,121190,121190
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,26-39,Most deprived,Percentage,34.3,127495,43710
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,26-39,2nd most deprived,Percentage,25.5,127495,32545
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,26-39,3rd most deprived,Percentage,18.5,127495,23600
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,26-39,2nd least deprived,Percentage,12.2,127495,15520
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,26-39,Least deprived,Percentage,8.3,127495,10550
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,26-39,Unknown,Percentage,1.2,127495,1560
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,26-39,Total,Percentage,100,127495,127495
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,40-59,Most deprived,Percentage,29.7,925815,274585
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,40-59,2nd most deprived,Percentage,24.2,925815,224510
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,40-59,3rd most deprived,Percentage,19.2,925815,178040
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,40-59,2nd least deprived,Percentage,15,925815,138930
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,40-59,Least deprived,Percentage,11.5,925815,106255
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,40-59,Unknown,Percentage,0.4,925815,3495
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,40-59,Total,Percentage,100,925815,925815
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,40-59,Most deprived,Percentage,29.7,957885,284970
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,40-59,2nd most deprived,Percentage,24.3,957885,232485
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,40-59,3rd most deprived,Percentage,19.2,957885,184145
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,40-59,2nd least deprived,Percentage,14.9,957885,143030
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,40-59,Least deprived,Percentage,11.4,957885,109120
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,40-59,Unknown,Percentage,0.4,957885,4135
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,40-59,Total,Percentage,100,957885,957885
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,40-59,Most deprived,Percentage,29.3,996690,291630
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,40-59,2nd most deprived,Percentage,24.5,996690,243705
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,40-59,3rd most deprived,Percentage,19.6,996690,195160
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,40-59,2nd least deprived,Percentage,15,996690,149495
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,40-59,Least deprived,Percentage,11.4,996690,113610
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,40-59,Unknown,Percentage,0.3,996690,3090
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,40-59,Total,Percentage,100,996690,996690
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,40-59,Most deprived,Percentage,29.4,1010750,296850
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,40-59,2nd most deprived,Percentage,24.5,1010750,247990
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,40-59,3rd most deprived,Percentage,19.6,1010750,197955
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,40-59,2nd least deprived,Percentage,14.9,1010750,150950
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,40-59,Least deprived,Percentage,11.3,1010750,114445
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,40-59,Unknown,Percentage,0.3,1010750,2560
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,40-59,Total,Percentage,100,1010750,1010750
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,40-59,Most deprived,Percentage,29.3,1037410,303930
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,40-59,2nd most deprived,Percentage,24.5,1037410,254290
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,40-59,3rd most deprived,Percentage,19.6,1037410,203335
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,40-59,2nd least deprived,Percentage,14.9,1037410,154780
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,40-59,Least deprived,Percentage,11.3,1037410,117345
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,40-59,Unknown,Percentage,0.4,1037410,3730
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,40-59,Total,Percentage,100,1037410,1037410
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,60-79,Most deprived,Percentage,21.9,1562515,342565
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,60-79,2nd most deprived,Percentage,21.6,1562515,337695
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,60-79,3rd most deprived,Percentage,20.9,1562515,325865
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,60-79,2nd least deprived,Percentage,19.4,1562515,302725
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,60-79,Least deprived,Percentage,15.7,1562515,245175
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,60-79,Unknown,Percentage,0.5,1562515,8495
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2017-18,England and Wales,60-79,Total,Percentage,100,1562515,1562515
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,60-79,Most deprived,Percentage,21.9,1619410,355375
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,60-79,2nd most deprived,Percentage,21.6,1619410,349320
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,60-79,3rd most deprived,Percentage,20.8,1619410,337550
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,60-79,2nd least deprived,Percentage,19.3,1619410,312715
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,60-79,Least deprived,Percentage,15.7,1619410,253640
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,60-79,Unknown,Percentage,0.7,1619410,10810
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2018-19,England and Wales,60-79,Total,Percentage,100,1619410,1619410
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,60-79,Most deprived,Percentage,22.2,1677705,371950
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,60-79,2nd most deprived,Percentage,21.8,1677705,364995
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,60-79,3rd most deprived,Percentage,20.8,1677705,349730
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,60-79,2nd least deprived,Percentage,19.2,1677705,322610
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,60-79,Least deprived,Percentage,15.5,1677705,260625
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,60-79,Unknown,Percentage,0.5,1677705,7795
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2019-20,England and Wales,60-79,Total,Percentage,100,1677705,1677705
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,60-79,Most deprived,Percentage,22.2,1694835,375915
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,60-79,2nd most deprived,Percentage,21.8,1694835,369480
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,60-79,3rd most deprived,Percentage,20.9,1694835,353565
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,60-79,2nd least deprived,Percentage,19.2,1694835,325810
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,60-79,Least deprived,Percentage,15.5,1694835,263125
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,60-79,Unknown,Percentage,0.4,1694835,6935
